GNL_STR_NBR_ID,GNL_ITEM_ID,WEEK_END_DATE,YEAR,WEEK,0,AVG_WEEKLY_TEMP,POS_QTY,POS_AMT
859,37239,9/6/2013,2013,36,0.006428,80.890714,0,0
859,37239,9/13/2013,2013,37,0.002714,81.563571,0,0
859,37239,9/20/2013,2013,38,0.003428,80.281428,0,0
859,37239,9/27/2013,2013,39,0.007,78.435,0,0
859,37239,10/4/2013,2013,40,0,79.513571,0,0
859,37239,10/11/2013,2013,41,0.005142,76.807857,0,0
859,37239,10/18/2013,2013,42,0,76.344285,0,0
859,37239,10/25/2013,2013,43,0.000285,74.158571,0,0
859,37239,11/1/2013,2013,44,0.002285,71.973571,0,0
859,37239,11/8/2013,2013,45,0,71.552142,0,0
859,37239,11/15/2013,2013,46,0.001428,68.652142,0,0
859,37239,11/22/2013,2013,47,0.000142,74.088571,0,0
859,37239,11/29/2013,2013,48,0.001142,63.217142,0,0
859,37239,12/6/2013,2013,49,0,70.007857,0,0
859,37239,12/13/2013,2013,50,0,68.987857,0,0
859,37239,12/20/2013,2013,51,0.001428,62.66,0,0
859,37239,12/27/2013,2013,52,0,68.221428,0,0
859,37239,1/3/2014,2014,1,0.006,62.105714,0,0
859,37239,1/10/2014,2014,2,0.001714,61.595,0,0
859,37239,1/17/2014,2014,3,0.000428,55.282857,0,0
859,37239,1/24/2014,2014,4,0.000571,53.067142,0,0
859,37239,1/31/2014,2014,5,0.003714,60.07,0,0
859,37239,2/7/2014,2014,6,0.000428,66.903571,0,0
859,37239,2/14/2014,2014,7,0.002142,60.657142,0,0
859,37239,2/21/2014,2014,8,0.000142,66.168571,0,0
859,37239,2/28/2014,2014,9,0.002142,65.285714,0,0
859,37239,3/7/2014,2014,10,0.001142,64.887857,0,0
859,37239,3/14/2014,2014,11,0.000142,64.829285,0,0
859,37239,3/21/2014,2014,12,0.005428,69.827857,0,0
859,37239,3/28/2014,2014,13,0.004,66.021428,5,18.15
859,37239,4/4/2014,2014,14,0,68.020714,12,43.56
859,37239,4/11/2014,2014,15,0.001428,70.711428,60,178.2
859,37239,4/18/2014,2014,16,0.001857,71.692142,78,231.66
859,37239,4/25/2014,2014,17,0,70.893571,254,754.38
859,37239,5/2/2014,2014,18,0.006428,77.190714,330,980.1
859,37239,5/9/2014,2014,19,0.000285,76.052857,786,2334.42
859,37239,5/16/2014,2014,20,0.001857,76.892857,74,219.78
859,37239,5/23/2014,2014,21,0,76.051428,161,478.17
859,37239,5/30/2014,2014,22,0.002428,79.664285,476,1413.72
859,37239,6/6/2014,2014,23,0.000285,78.648571,410,1217.7
859,37239,6/13/2014,2014,24,0.004857,79.212142,234,694.98
859,37239,6/20/2014,2014,25,0.003857,79.633571,67,221.1
859,37239,6/27/2014,2014,26,0.010142,81.909285,92,302.01
859,37239,7/4/2014,2014,27,0.006,81.701428,20,66
859,37239,7/11/2014,2014,28,0.008285,80.191428,0,0
859,37239,7/18/2014,2014,29,0.005142,81.112857,84,277.2
859,37239,7/25/2014,2014,30,0.008714,82.074285,128,422.4
859,37239,8/1/2014,2014,31,0.001142,82.739285,68,224.4
859,37239,8/8/2014,2014,32,0.007142,82.213571,145,442.86
859,37239,8/15/2014,2014,33,0.000285,80.301428,24,70.56
859,37239,8/22/2014,2014,34,0.007,83.427142,96,282.24
859,37239,8/29/2014,2014,35,0.001,82.570714,27,79.38
859,37239,9/5/2014,2014,36,0.003142,81.640714,0,0
859,37239,9/12/2014,2014,37,0.003428,81.377142,0,0
859,37239,9/19/2014,2014,38,0.007428,79.07,0,0
859,37239,9/26/2014,2014,39,0.008285,78.491428,0,0
859,37239,10/3/2014,2014,40,0.004857,78.998571,0,0
859,37239,10/10/2014,2014,41,0,75.886428,0,0
859,37239,10/17/2014,2014,42,0.001285,74.118571,0,0
859,37239,10/24/2014,2014,43,0,72.455,0,0
859,37239,10/31/2014,2014,44,0,68.345,0,0
859,37239,11/7/2014,2014,45,0.000714,65.267857,0,0
859,37239,11/14/2014,2014,46,0.001142,64.404285,0,0
859,37239,11/21/2014,2014,47,0.002142,61.637142,0,0
859,37239,11/28/2014,2014,48,0.004571,65.306428,0,0
859,37239,12/5/2014,2014,49,0.000714,68.975,0,0
859,37239,12/12/2014,2014,50,0.001,55.435,0,0
859,37239,12/19/2014,2014,51,0,58.839285,0,0
859,37239,12/26/2014,2014,52,0.002714,68.457857,0,0
859,37239,1/2/2015,2015,1,0.000428,68.208571,0,0
859,37239,1/9/2015,2015,2,0,59.669285,0,0
859,37239,1/16/2015,2015,3,0.006142,62.293571,0,0
859,37239,1/23/2015,2015,4,0.001285,62.277142,0,0
859,37239,1/30/2015,2015,5,0.000142,55.657857,0,0
859,37239,2/6/2015,2015,6,0.001285,59.117857,0,0
859,37239,2/13/2015,2015,7,0.001428,56.407857,0,0
859,37239,2/20/2015,2015,8,0.003285,54.892857,0,0
859,37239,2/27/2015,2015,9,0.002571,64.358571,0,0
859,37239,3/6/2015,2015,10,0.000857,69.513571,0,0
859,37239,3/13/2015,2015,11,0.000714,74.134285,0,0
859,37239,3/20/2015,2015,12,0,74.773571,34,112.2
859,37239,3/27/2015,2015,13,0.002428,70.973571,15,49.5
859,37239,4/3/2015,2015,14,0,68.34,79,260.7
859,37239,4/10/2015,2015,15,0.003285,76.050714,23,75.9
859,37239,4/17/2015,2015,16,0.007,77.455,113,372.9
859,37239,4/24/2015,2015,17,0.002571,77.107142,200,660
859,37239,5/1/2015,2015,18,0.001142,75.199285,78,257.4
859,37239,5/8/2015,2015,19,0.001142,74.287857,308,1016.4
859,37239,5/15/2015,2015,20,0.000857,79.506428,83,273.9
859,37239,5/22/2015,2015,21,0.001142,80.512142,156,514.8
859,37239,5/29/2015,2015,22,0.003,79.729285,406,1339.8
859,37239,6/5/2015,2015,23,0.010857,78.402857,445,1466.85
859,37239,6/12/2015,2015,24,0.002571,79.998571,317,1046.1
859,37239,6/19/2015,2015,25,0.002,83.165,232,765.6
859,37239,6/26/2015,2015,26,0.011428,82.385,255,841.5
859,37239,7/3/2015,2015,27,0.001,82.022142,291,960.3
859,37239,7/10/2015,2015,28,0.003,82.189285,111,366.3
859,37239,7/17/2015,2015,29,0.001428,81.198571,212,699.6
859,37239,7/24/2015,2015,30,0.004857,80.794285,1,3.3
859,37239,7/31/2015,2015,31,0.005428,80.091428,0,0
859,37239,8/7/2015,2015,32,0.002714,80.220714,0,0
859,37239,8/14/2015,2015,33,0.008285,81.7,0,0
859,37239,8/21/2015,2015,34,0.007285,83.035,0,0
859,37239,8/28/2015,2015,35,0.003285,81.798571,0,0
859,37239,9/4/2015,2015,36,0.01,82.034285,0,0
859,37239,9/11/2015,2015,37,0.006142,81.457857,0,0
859,37239,9/18/2015,2015,38,0.001,79.063571,0,0
859,37239,9/25/2015,2015,39,0.010142,80.473571,0,0
859,37239,10/2/2015,2015,40,0.001,80.27,0,0
859,37239,10/9/2015,2015,41,0.000857,75.772142,0,0
859,37239,10/16/2015,2015,42,0,75.332142,0,0
859,37239,10/23/2015,2015,43,0,74.304285,0,0
859,37239,10/30/2015,2015,44,0.000428,75.303571,0,0
859,37239,11/6/2015,2015,45,0.000714,79.125,0,0
859,37239,11/13/2015,2015,46,0.001,75.387857,0,0
859,37239,11/20/2015,2015,47,0.006142,74.852142,0,0
859,37239,11/27/2015,2015,48,0.000857,67.482142,0,0
859,37239,12/4/2015,2015,49,0.000285,70.518571,0,0
859,37239,12/11/2015,2015,50,0,68.262142,0,0
859,37239,12/18/2015,2015,51,0.000714,70.268571,0,0
859,37239,12/25/2015,2015,52,0.000714,72.906428,0,0
859,37239,1/1/2016,2016,1,0.000142,74.356428,0,0
859,37239,1/8/2016,2016,2,0.003428,60.535714,0,0
859,37239,1/15/2016,2016,3,0.005285,58.526428,0,0
859,37239,1/22/2016,2016,4,0.006571,54.251428,0,0
859,37239,1/29/2016,2016,5,0.008857,57.096428,0,0
859,37239,2/5/2016,2016,6,0.002714,64.817142,0,0
859,37239,2/12/2016,2016,7,0,53.267142,0,0
859,37239,2/19/2016,2016,8,0.002142,62.277857,0,0
859,37239,2/26/2016,2016,9,0.003142,61.445714,0,0
859,37239,3/4/2016,2016,10,0.000142,64.457142,0,0
859,37239,3/11/2016,2016,11,0,68.702142,29,98.02
859,37239,3/18/2016,2016,12,0.000857,74.669285,18,60.84
859,37239,3/25/2016,2016,13,0.017714,66.307857,66,223.08
859,37239,4/1/2016,2016,14,0.002857,74.792857,10,33.8
859,37239,4/8/2016,2016,15,0.000571,68.588571,225,760.5
859,37239,4/15/2016,2016,16,0.000428,70.795714,96,324.48
859,37239,4/22/2016,2016,17,0,71.361428,131,442.78
859,37239,4/29/2016,2016,18,0.000428,75.721428,319,1078.22
859,37239,5/6/2016,2016,19,0.008,72.342857,136,459.68
859,37239,5/13/2016,2016,20,0,74.845,306,1024.6
859,37239,5/20/2016,2016,21,0.003857,77.573571,288,720
859,37239,5/27/2016,2016,22,0.000285,77.128571,207,517.5
859,37239,6/3/2016,2016,23,0.008142,80.407142,539,1347.5
859,37239,6/10/2016,2016,24,0.010714,79.837142,348,870
859,37239,6/17/2016,2016,25,0.005428,82.639285,373,932.5
859,37239,6/24/2016,2016,26,0.001857,80.864285,269,672.5
859,37239,7/1/2016,2016,27,0.020714,81.344285,165,412.5
859,37239,7/8/2016,2016,28,0.000285,84.620714,99,212.5
859,37239,7/15/2016,2016,29,0.003428,83.728571,557,1114
859,37239,7/22/2016,2016,30,0.005285,82.357142,253,592.94
859,37239,7/29/2016,2016,31,0,35.373571,73,246.74
859,37239,8/5/2016,2016,32,0.001571,70.397857,97,304.1
859,37239,8/12/2016,2016,33,0.014,81.093571,61,152.5
859,37239,8/19/2016,2016,34,0.008571,83.412857,261,652.5
859,37239,8/26/2016,2016,35,0.011,84.685714,0,0
859,37239,9/2/2016,2016,36,0.001428,81.772142,0,0
859,37239,9/9/2016,2016,37,0,80.444285,0,0
859,37239,9/16/2016,2016,38,0,79.636428,0,0
859,37239,9/23/2016,2016,39,0,78.661428,0,0
859,37239,9/30/2016,2016,40,0,77.53,0,0
859,37239,10/7/2016,2016,41,0,76.255714,0,0
859,37239,10/14/2016,2016,42,0,74.855714,0,0
859,37239,10/21/2016,2016,43,0,73.356428,0,0
859,37239,10/28/2016,2016,44,0,72.3575,0,0
